date,new_deaths,total_deaths,hospital,region,code
2020-03-14,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-13,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-12,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-11,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-10,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-09,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-08,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-07,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-06,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-05,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-04,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-03,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-02,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
2020-03-01,0,0,North Tees And Hartlepool NHS Foundation Trust,North East and Yorkshire,RVW
